trade_date,trend_a,trend_b
2025-01-31,100.0,95.0
2025-02-28,101.7,96.2
2025-03-31,103.4,97.4
2025-04-30,105.1,98.6
2025-05-31,106.8,99.8
2025-06-30,108.5,101.0
2025-07-31,110.2,102.2
2025-08-31,111.9,103.4
2025-09-30,113.6,104.6
2025-10-31,115.3,105.8
2025-11-30,117.0,107.0
2025-12-31,118.7,108.2
2026-01-31,120.4,109.4
2026-02-28,122.1,110.6
2026-03-31,123.8,111.8
2026-04-30,125.5,113.0
2026-05-31,127.2,114.2
2026-06-30,128.9,115.4
2026-07-31,130.6,116.6
2026-08-31,132.3,117.8
2026-09-30,134.0,119.0
2026-10-31,135.7,120.2
2026-11-30,137.4,121.4
2026-12-31,139.1,122.6
