trade_date,spx_close,us10y
2024-03-28,5254.35,4.2
2024-04-01,5243.77,4.33
2024-04-02,5205.81,4.36
2024-04-03,5211.49,4.36
2024-04-04,5147.21,4.31
2024-04-05,5204.34,4.39
2024-04-08,5202.39,4.42
2024-04-09,5209.91,4.36
2024-04-10,5160.64,4.55
2024-04-11,5199.06,4.56
2024-04-12,5123.41,4.5
2024-04-15,5061.82,4.63
2024-04-16,5051.41,4.67
2024-04-17,5022.21,4.59
2024-04-18,5011.12,4.64
2024-04-19,4967.23,4.62
2024-04-22,5010.6,4.62
2024-04-23,5070.55,4.61
2024-04-24,5071.63,4.65
2024-04-25,5048.42,4.7
2024-04-26,5099.96,4.67
2024-04-29,5116.17,4.63
2024-04-30,5035.69,4.69
2024-05-01,5018.39,4.63
2024-05-02,5064.2,4.58
2024-05-03,5127.79,4.5
2024-05-06,5180.74,4.49
2024-05-07,5187.7,4.47
2024-05-08,5187.67,4.48
2024-05-09,5214.08,4.45
2024-05-10,5222.68,4.5
2024-05-13,5221.42,4.48
2024-05-14,5246.68,4.45
2024-05-15,5308.15,4.36
2024-05-16,5297.1,4.38
2024-05-17,5303.27,4.42
2024-05-20,5308.13,4.44
2024-05-21,5321.41,4.41
2024-05-22,5307.01,4.43
2024-05-23,5267.84,4.47
2024-05-24,5304.72,4.46
2024-05-28,5306.04,4.54
2024-05-29,5266.95,4.61
2024-05-30,5235.48,4.55
2024-05-31,5277.51,4.51
2024-06-03,5283.4,4.41
2024-06-04,5291.34,4.33
2024-06-05,5354.03,4.29
2024-06-06,5352.96,4.28
2024-06-07,5346.99,4.43
2024-06-10,5360.79,4.47
2024-06-11,5375.32,4.39
2024-06-12,5421.03,4.31
2024-06-13,5433.74,4.24
2024-06-14,5431.6,4.2
2024-06-17,5473.23,4.28
2024-06-18,5487.03,4.22
2024-06-20,5473.17,4.25
2024-06-21,5464.62,4.25
2024-06-24,5447.87,4.25
2024-06-25,5469.3,4.23
2024-06-26,5477.9,4.32
2024-06-27,5482.87,4.29
2024-06-28,5460.48,4.36
2024-07-01,5475.09,4.48
2024-07-02,5509.01,4.43
2024-07-03,5537.02,4.36
2024-07-05,5567.19,4.28
2024-07-08,5572.85,4.28
2024-07-09,5576.98,4.3
2024-07-10,5633.91,4.28
2024-07-11,5584.54,4.2
2024-07-12,5615.35,4.18
2024-07-15,5631.22,4.23
2024-07-16,5667.2,4.17
2024-07-17,5588.27,4.16
2024-07-18,5544.59,4.2
2024-07-19,5505.0,4.25
2024-07-22,5564.41,4.26
2024-07-23,5555.74,4.25
2024-07-24,5427.13,4.28
2024-07-25,5399.22,4.27
2024-07-26,5459.1,4.2
2024-07-29,5463.54,4.17
2024-07-30,5436.44,4.15
2024-07-31,5522.3,4.09
2024-08-01,5446.68,3.99
2024-08-02,5346.56,3.8
2024-08-05,5186.33,3.78
2024-08-06,5240.03,3.9
2024-08-07,5199.5,3.96
2024-08-08,5319.31,3.99
2024-08-09,5344.16,3.94
2024-08-12,5344.39,3.9
2024-08-13,5434.43,3.85
2024-08-14,5455.21,3.83
2024-08-15,5543.22,3.92
2024-08-16,5554.25,3.89
2024-08-19,5608.25,3.86
2024-08-20,5597.12,3.82
2024-08-21,5620.85,3.79
2024-08-22,5570.64,3.86
2024-08-23,5634.61,3.81
2024-08-26,5616.84,3.82
2024-08-27,5625.8,3.83
2024-08-28,5592.18,3.84
2024-08-29,5591.96,3.87
2024-08-30,5648.4,3.91
2024-09-03,5528.93,3.84
2024-09-04,5520.07,3.77
2024-09-05,5503.41,3.73
2024-09-06,5408.42,3.72
2024-09-09,5471.05,3.7
2024-09-10,5495.52,3.65
2024-09-11,5554.13,3.65
2024-09-12,5595.76,3.68
2024-09-13,5626.02,3.66
2024-09-16,5633.09,3.63
2024-09-17,5634.58,3.65
2024-09-18,5618.26,3.7
2024-09-19,5713.64,3.73
2024-09-20,5702.55,3.73
2024-09-23,5718.57,3.75
2024-09-24,5732.93,3.74
2024-09-25,5722.26,3.79
2024-09-26,5745.37,3.79
2024-09-27,5738.17,3.75
2024-09-30,5762.48,3.81
2024-10-01,5708.75,3.74
2024-10-02,5709.54,3.79
2024-10-03,5699.94,3.85
2024-10-04,5751.07,3.98
2024-10-07,5695.94,4.03
2024-10-08,5751.13,4.04
2024-10-09,5792.04,4.06
2024-10-10,5780.05,4.09
2024-10-11,5815.03,4.08
2024-10-15,5815.26,4.03
2024-10-16,5842.47,4.02
2024-10-17,5841.47,4.09
2024-10-18,5864.67,4.08
2024-10-21,5853.98,4.19
2024-10-22,5851.2,4.2
2024-10-23,5797.42,4.24
2024-10-24,5809.86,4.21
